,values
0,600.585938
1,600.585938
2,600.585938
3,600.585938
4,600.585938
5,600.585938
6,600.585938
7,600.585938
8,600.585938
9,600.585938
10,600.585938
11,600.585938
12,600.585938
13,600.585938
14,600.585938
15,600.585938
16,600.585938
17,600.585938
18,600.585938
19,600.585938
20,600.585938
21,600.585938
22,600.585938
23,600.585938
24,600.585938
25,600.585938
26,600.585938
27,600.585938
28,600.585938
29,600.585938
30,600.585938
31,600.585938
32,600.585938
33,600.585938
34,600.585938
35,600.585938
36,600.585938
37,600.585938
38,600.585938
39,600.585938
40,600.585938
41,600.585938
42,600.585938
43,600.585938
44,600.585938
45,600.585938
46,600.585938
47,600.585938
48,600.585938
49,600.585938
50,815.429688
51,961.914062
52,600.585938
53,600.585938
54,600.585938
55,600.585938
56,1054.6875
57,1254.882812
58,1484.375
59,1547.851562
60,1870.117188
61,2412.109375
62,3022.460938
63,3349.609375
64,2543.945312
65,2416.992188
66,1704.101562
67,766.601562
68,1484.375
69,2744.140625
70,3208.007812
71,3168.945312
72,3510.742188
73,3623.046875
74,3530.273438
75,3774.414062
76,3920.898438
77,3842.773438
78,3779.296875
79,3666.992188
80,3613.28125
81,3662.109375
82,3676.757812
83,3740.234375
84,3842.773438
85,3823.242188
86,3852.539062
87,3911.132812
88,3906.25
89,3852.539062
90,3867.1875
91,3906.25
92,3950.195312
93,3959.960938
94,3847.65625
95,3710.9375
96,3808.59375
97,4067.382812
98,4296.875
99,4399.414062
100,4443.359375
101,4443.359375
102,4443.359375
103,4492.1875
104,4531.25
105,4497.070312
106,4467.773438
107,4448.242188
108,4467.773438
109,4487.304688
110,4521.484375
111,4550.78125
112,4560.546875
113,4594.726562
114,4599.609375
115,4628.90625
116,4667.96875
117,4682.617188
118,4697.265625
119,4711.914062
120,4731.445312
121,4755.859375
122,4775.390625
123,4775.390625
124,4790.039062
125,4790.039062
126,4819.335938
127,4853.515625
128,4858.398438
129,4892.578125
130,4931.640625
131,4946.289062
132,4951.171875
133,4956.054688
134,4965.820312
135,4980.46875
136,4975.585938
137,4990.234375
138,5004.882812
139,5019.53125
140,5039.0625
141,5058.59375
142,5078.125
143,5097.65625
144,5107.421875
145,5117.1875
146,5126.953125
147,5131.835938
148,5141.601562
149,5141.601562
150,5156.25
151,5161.132812
152,5175.78125
153,5195.3125
154,5200.195312
155,5205.078125
156,5224.609375
157,5234.375
158,5249.023438
159,5234.375
160,5253.90625
161,5253.90625
162,5253.90625
163,5278.320312
164,5278.320312
165,5263.671875
166,5283.203125
167,5297.851562
168,5307.617188
169,5332.03125
170,5351.5625
171,5351.5625
172,5356.445312
173,5361.328125
174,5361.328125
175,5366.210938
176,5366.210938
177,5371.09375
178,5385.742188
179,5395.507812
180,5419.921875
181,5415.039062
182,5424.804688
