,values
0,-9433.59375
1,-9433.59375
2,-9433.59375
3,-9433.59375
4,-9433.59375
5,-9433.59375
6,-9433.59375
7,-9433.59375
8,-9433.59375
9,-9433.59375
10,-9433.59375
11,-9433.59375
12,-9433.59375
13,-9433.59375
14,-9433.59375
15,-9433.59375
16,-9433.59375
17,-9433.59375
18,-9433.59375
19,-9433.59375
20,-9428.710938
21,-9433.59375
22,-9433.59375
23,-9433.59375
24,-9433.59375
25,-9433.59375
26,-9433.59375
27,-9433.59375
28,-9433.59375
29,-9433.59375
30,-9433.59375
31,-9433.59375
32,-9433.59375
33,-9433.59375
34,-9433.59375
35,-9433.59375
36,-9433.59375
37,-9433.59375
38,-9433.59375
39,-9433.59375
40,-9433.59375
41,-9433.59375
42,-9433.59375
43,-9433.59375
44,-9433.59375
45,-9433.59375
46,-9433.59375
47,-9433.59375
48,-9433.59375
49,-9428.710938
50,-8803.710938
51,-9262.695312
52,-9042.96875
53,-8662.109375
54,-7070.3125
55,-5322.265625
56,-5766.601562
57,-5039.0625
58,-5991.210938
59,-5302.734375
60,-7358.398438
61,-6728.515625
62,-8564.453125
63,-8608.398438
64,-9062.5
65,-8505.859375
66,-8417.96875
67,-7460.9375
68,-7504.882812
69,-6806.640625
70,-6186.523438
71,-5815.429688
72,-5888.671875
73,-6127.929688
74,-6489.257812
75,-6499.023438
76,-7128.90625
77,-7290.039062
78,-7661.132812
79,-7744.140625
80,-7490.234375
81,-7583.007812
82,-7480.46875
83,-7241.210938
84,-7138.671875
85,-6811.523438
86,-6733.398438
87,-6806.640625
88,-6635.742188
89,-6655.273438
90,-6523.4375
91,-6474.609375
92,-6528.320312
93,-6489.257812
94,-6347.65625
95,-6342.773438
96,-6225.585938
97,-6279.296875
98,-6220.703125
99,-6147.460938
100,-6113.28125
101,-6113.28125
102,-6108.398438
103,-6147.460938
104,-6064.453125
105,-6088.867188
106,-6127.929688
107,-6118.164062
108,-6162.109375
109,-6137.695312
110,-6137.695312
111,-6201.171875
112,-6196.289062
113,-6264.648438
114,-6250.0
115,-6245.117188
116,-6269.53125
117,-6274.414062
118,-6289.0625
119,-6308.59375
120,-6250.0
121,-6250.0
122,-6230.46875
123,-6196.289062
124,-6191.40625
125,-6064.453125
126,-6059.570312
127,-5986.328125
128,-5922.851562
129,-5898.4375
130,-5849.609375
131,-5805.664062
132,-5771.484375
133,-5698.242188
134,-5703.125
135,-5654.296875
136,-5605.46875
137,-5620.117188
138,-5507.8125
139,-5517.578125
140,-5483.398438
141,-5449.21875
142,-5458.984375
143,-5385.742188
144,-5356.445312
145,-5390.625
146,-5307.617188
147,-5302.734375
148,-5322.265625
149,-5234.375
150,-5258.789062
151,-5195.3125
152,-5117.1875
153,-5141.601562
154,-5053.710938
155,-5029.296875
156,-4970.703125
157,-4916.992188
158,-4887.695312
159,-4824.21875
160,-4775.390625
161,-4755.859375
162,-4711.914062
163,-4663.085938
164,-4628.90625
165,-4516.601562
166,-4526.367188
167,-4433.59375
168,-4394.53125
169,-4291.992188
170,-4238.28125
171,-4228.515625
172,-4179.6875
173,-4145.507812
174,-4106.445312
175,-4067.382812
176,-4067.382812
177,-4018.554688
178,-3964.84375
179,-3994.140625
180,-3896.484375
181,-3906.25
182,-3852.539062
183,-3793.945312
184,-3833.007812
185,-3779.296875
186,-3730.46875
187,-3730.46875
188,-3642.578125
189,-3666.992188
190,-3652.34375
191,-3569.335938
192,-3579.101562
193,-3515.625
194,-3486.328125
195,-3476.5625
196,-3432.617188
197,-3393.554688
198,-3383.789062
199,-3339.84375
200,-3320.3125
201,-3251.953125
202,-3222.65625
203,-3193.359375
204,-3134.765625
205,-3105.46875
206,-3076.171875
207,-3002.929688
208,-2973.632812
209,-2919.921875
210,-2851.5625
211,-2827.148438
212,-2734.375
213,-2719.726562
214,-2631.835938
215,-2612.304688
216,-2529.296875
217,-2534.179688
218,-2480.46875
219,-2441.40625
220,-2382.8125
221,-2319.335938
222,-2270.507812
223,-2192.382812
224,-2109.375
225,-2080.078125
226,-2016.601562
227,-1909.179688
228,-1889.648438
229,-1757.8125
230,-1762.695312
231,-1743.164062
232,-1640.625
233,-1660.15625
234,-1591.796875
235,-1586.914062
236,-1528.320312
237,-1445.3125
238,-1440.429688
239,-1411.132812
240,-1352.539062
241,-1298.828125
242,-1225.585938
243,-1127.929688
244,-1083.984375
245,-996.09375
246,-878.90625
247,-795.898438
248,-751.953125
249,-673.828125
250,-673.828125
251,-673.828125
252,-673.828125
253,-673.828125
254,-673.828125
255,-673.828125
256,-673.828125
257,-673.828125
258,-673.828125
259,-673.828125
260,-673.828125
261,-668.945312
262,-673.828125
263,-668.945312
264,-673.828125
265,-673.828125
266,-673.828125
267,-668.945312
268,-668.945312
269,-673.828125
270,-668.945312
271,-668.945312
272,-673.828125
273,-673.828125
274,-673.828125
275,-668.945312
276,-673.828125
277,-673.828125
278,-673.828125
279,-673.828125
280,-673.828125
281,-673.828125
282,-673.828125
283,-673.828125
284,-673.828125
285,-673.828125
286,-673.828125
287,-673.828125
288,-673.828125
289,-673.828125
290,-668.945312
291,-673.828125
292,-673.828125
293,-673.828125
294,-673.828125
295,-673.828125
296,-673.828125
297,-673.828125
298,-673.828125
299,-673.828125
300,-668.945312
301,-673.828125
302,-673.828125
303,-673.828125
304,-673.828125
305,-673.828125
306,-673.828125
307,-668.945312
308,-673.828125
309,-673.828125
310,-673.828125
311,-673.828125
312,-673.828125
313,-673.828125
314,-673.828125
315,-673.828125
316,-673.828125
317,-673.828125
318,-673.828125
319,-673.828125
320,-673.828125
321,-673.828125
322,-673.828125
323,-673.828125
324,-673.828125
325,-673.828125
326,-668.945312
327,-673.828125
328,-673.828125
329,-673.828125
330,-673.828125
331,-673.828125
332,-668.945312
333,-673.828125
334,-673.828125
335,-673.828125
336,-673.828125
337,-673.828125
338,-673.828125
339,-673.828125
340,-673.828125
341,-673.828125
342,-673.828125
343,-668.945312
344,-673.828125
345,-673.828125
346,-668.945312
347,-673.828125
348,-673.828125
349,-673.828125
350,-673.828125
351,-673.828125
352,-673.828125
353,-673.828125
354,-673.828125
355,-673.828125
356,-673.828125
357,-673.828125
358,-668.945312
359,-673.828125
360,-673.828125
361,-673.828125
362,-673.828125
363,-673.828125
364,-673.828125
365,-673.828125
366,-668.945312
367,-673.828125
368,-673.828125
369,-673.828125
370,-673.828125
371,-673.828125
372,-673.828125
373,-673.828125
374,-673.828125
375,-673.828125
376,-673.828125
377,-673.828125
378,-673.828125
379,-673.828125
380,-668.945312
381,-673.828125
382,-673.828125
383,-668.945312
384,-673.828125
385,-673.828125
386,-673.828125
387,-673.828125
388,-673.828125
389,-673.828125
390,-673.828125
391,-673.828125
392,-673.828125
393,-673.828125
394,-673.828125
395,-673.828125
396,-673.828125
397,-673.828125
398,-668.945312
399,-673.828125
400,-673.828125
401,-668.945312
402,-673.828125
